Date,Open,High,Low,Close,Adj Close**,Volume
02/06/1986,246.04,247.74,243.83,245.04,245.04,120600000.00
30/05/1986,247.98,249.19,246.43,247.35,247.35,151200000.00
29/05/1986,246.63,248.32,245.29,247.98,247.98,135700000.00
28/05/1986,244.75,247.4,244.75,246.63,246.63,159600000.00
27/05/1986,241.35,244.76,241.35,244.75,244.75,121200000.00
23/05/1986,240.12,242.16,240.12,241.35,241.35,130200000.00
22/05/1986,235.45,240.25,235.45,240.12,240.12,144900000.00
21/05/1986,236.11,236.83,235.45,235.45,235.45,117100000.00
20/05/1986,233.2,236.12,232.58,236.11,236.11,113000000.00
19/05/1986,232.76,233.54,232.41,233.2,233.2,85840000.00
16/05/1986,234.43,234.43,232.26,232.76,232.76,113500000.00
15/05/1986,237.54,237.54,233.93,234.43,234.43,131600000.00
14/05/1986,236.41,237.54,235.85,237.54,237.54,132100000.00
13/05/1986,237.58,237.87,236.02,236.41,236.41,119200000.00
12/05/1986,237.85,238.53,237.02,237.58,237.58,125400000.00
09/05/1986,237.13,238.01,235.85,237.85,237.85,137400000.00
08/05/1986,236.08,237.96,236.08,237.13,237.13,136000000.00
07/05/1986,236.56,237.24,233.98,236.08,236.08,129900000.00
06/05/1986,237.73,238.28,236.26,237.24,237.24,121200000.00
05/05/1986,234.79,237.73,234.79,237.73,237.73,102400000.00
02/05/1986,235.16,236.52,234.15,234.79,234.79,126300000.00
01/05/1986,235.52,236.01,234.21,235.16,235.16,146500000.00
30/04/1986,240.52,240.52,235.26,235.52,235.52,147500000.00
29/04/1986,243.08,243.57,239.23,240.51,240.51,148800000.00
28/04/1986,242.29,243.08,241.23,243.08,243.08,123900000.00
25/04/1986,242.02,242.8,240.91,242.29,242.29,142300000.00
24/04/1986,241.75,243.13,241.65,242.02,242.02,146600000.00
23/04/1986,242.42,242.42,240.08,241.75,241.75,149700000.00
22/04/1986,244.74,245.47,241.3,242.42,242.42,161500000.00
21/04/1986,242.38,244.78,241.88,244.74,244.74,136100000.00
18/04/1986,243.03,243.47,241.74,242.38,242.38,153600000.00
17/04/1986,242.22,243.36,241.89,243.03,243.03,161400000.00
16/04/1986,237.73,242.57,237.73,242.22,242.22,173800000.00
15/04/1986,237.28,238.09,236.64,237.73,237.73,123700000.00
14/04/1986,235.97,237.48,235.43,237.28,237.28,106700000.00
11/04/1986,236.44,237.85,235.13,235.97,235.97,139400000.00
10/04/1986,233.75,236.54,233.75,236.44,236.44,184800000.00
09/04/1986,233.52,235.57,232.13,233.75,233.75,156300000.00
08/04/1986,228.63,233.7,228.63,233.52,233.52,146300000.00
07/04/1986,228.69,228.83,226.3,228.63,228.63,129800000.00
04/04/1986,232.47,232.56,228.32,228.69,228.69,147300000.00
03/04/1986,235.71,236.42,232.07,232.47,232.47,148200000.00
02/04/1986,235.14,235.71,233.4,235.71,235.71,145300000.00
01/04/1986,238.9,239.1,234.57,235.14,235.14,167400000.00
31/03/1986,238.97,239.86,238.08,238.9,238.9,134400000.00
